party,pres,avg_error,avg_abs_error,avg_qcew_otm_sa,avg_abs_qcew_otm_sa
R,Bush,-4.68911461617544,119.459569218324,63.7361734397059,193.228171068117
D,Obama,-15.699994487773,115.1018379095,100.293744487771,231.751077330896
R,Trump (1st),-0.251118037417352,148.676459770707,-56.08429862925,842.535112371791
D,Biden,9.26956062824987,183.583484231669,295.609606038416,315.091220331333
