date,ces_error,ces_abs_error,adp_error,adp_abs_error,ces_error_6m,ces_abs_error_6m,adp_error_6m,adp_abs_error_6m
2003-05-01,-75.7934700109763,75.7934700109763,,,,,,
2003-06-01,43.2484834290081,43.2484834290081,,,,,,
2003-07-01,13.6686366709764,13.6686366709764,,,,,,
2003-08-01,-199.421997619967,199.421997619967,,,,,,
2003-09-01,-102.854400606011,102.854400606011,,,,,,
2003-10-01,-142.469570957983,142.469570957983,,,-77.2703865158255,96.242759882487,,
2003-11-01,119.820134784983,119.820134784983,,,-44.6681190498324,103.580537344821,,
2003-12-01,-161.256116901015,161.256116901015,,,-78.7522191048362,123.248476256823,,
2004-01-01,-23.8700423900009,23.8700423900009,,,-85.0086656149991,124.948710543327,,
2004-02-01,-3.52217976098473,3.52217976098473,,,-52.3586959718353,92.2987409001629,,
2004-03-01,41.204381410018,41.204381410018,,,-28.3488989691638,82.0237377008307,,
2004-04-01,-30.3799315250217,30.3799315250217,,,-9.66729239700362,63.3421311286705,,
2004-05-01,165.59283069901,165.59283069901,,,-2.03850974466574,70.9709137810084,,
2004-06-01,-41.1844075219997,41.1844075219997,,,17.9734418185035,50.9589622178392,,
2004-07-01,-321.084061795002,321.084061795002,,,-31.56222808233,100.494632118673,,
2004-08-01,185.757737682026,185.757737682026,,,-0.0155751751614541,130.867225105513,,
2004-09-01,-48.3852036449826,48.3852036449826,,,-14.9471726843282,132.06402881134,,
2004-10-01,-86.2792834079737,86.2792834079737,,,-24.2637313314869,141.380587458499,,
2004-11-01,-31.1855875170149,31.1855875170149,,,-57.060134367491,118.9793802615,,
2004-12-01,-42.225206860996,42.225206860996,,,-57.2336009239904,119.152846817999,,
2005-01-01,102.054421652982,102.054421652982,,,13.2894796506735,82.6479067943292,,
2005-02-01,-3.77399396603869,3.77399396603869,,,-18.2991422906707,52.3172828416646,,
2005-03-01,42.713679870023,42.713679870023,,,-3.11599503816979,51.3720288791713,,
2005-04-01,-321.461614439002,321.461614439002,,,-42.3130502100078,90.5690840510094,,
2005-05-01,145.848584769046,145.848584769046,,,-12.8073548289976,109.679583593015,,
2005-06-01,68.7592471309909,68.7592471309909,,,5.69005416966684,114.101923638014,,
2005-07-01,-295.076809054997,295.076809054997,,,-60.498484281663,146.27232153835,,
2005-08-01,54.2429763439868,54.2429763439868,,,-50.8289892299921,154.683818601341,,
2005-09-01,-280.157333263996,280.157333263996,,,-104.640824752329,194.25776083367,,
2005-10-01,161.540723302009,161.540723302009,,,-24.1404351288268,167.604278977504,,
2005-11-01,-88.9433141180052,88.9433141180052,,,-63.2724182766688,158.120067202331,,
2005-12-01,-86.9515096149844,86.9515096149844,,,-89.2242110676646,161.152110949663,,
2006-01-01,-197.29267398901,197.29267398901,,,-72.9268552233334,144.854755105332,,
2006-02-01,-24.6607859800424,24.6607859800424,,,-86.0774822773383,139.924390044675,,
2006-03-01,-55.175486039996,55.175486039996,,,-48.5805077400049,102.427415507341,,
2006-04-01,141.963577236995,141.963577236995,,,-51.8433654175072,99.1645578298388,,
2006-05-01,-58.9544817749702,58.9544817749702,,,-46.845226693668,94.1664191059996,,
2006-06-01,-187.672573901044,187.672573901044,,,-63.6320707413446,110.953263153676,,
2006-07-01,202.162253219023,202.162253219023,,,2.94375045999429,111.764859692012,,
2006-08-01,-60.7614435610158,60.7614435610158,,,-3.07302580350127,117.781635955507,,
2006-09-01,-212.054559468001,212.054559468001,,,-29.219538041502,143.928148193508,,
2006-10-01,170.605488911984,170.605488911984,,,-24.4458860956705,148.70180013934,,
2006-11-01,-89.1592292949645,89.1592292949645,,,-29.4800106823362,153.735924726005,,
2006-12-01,-113.621556826998,113.621556826998,,,-17.1381745033286,141.394088546998,,
2007-01-01,-40.11610431601,40.11610431601,,,-57.5179007591675,114.386397063162,,
2007-02-01,-17.2590924200049,17.2590924200049,,,-50.2675089023324,107.136005206327,,
2007-03-01,-115.594608583982,115.594608583982,,,-34.1908504216626,91.0593467256573,,
2007-04-01,300.787028496998,300.787028496998,,,-12.4939271574937,112.756269989826,,
2007-05-01,-44.6404598489753,44.6404598489753,,,-5.07413224982884,105.336475082161,,
2007-06-01,-135.319423574998,135.319423574998,,,-8.69044337449547,108.952786206828,,
2007-07-01,155.725910410984,155.725910410984,,,23.9498924133368,128.221087222657,,
2007-08-01,-119.241516159993,119.241516159993,,,6.95282179000545,145.218157845988,,
2007-09-01,163.345814791988,163.345814791988,,,53.4428923526672,153.176692213989,,
2007-10-01,148.630392762992,148.630392762992,,,28.0834530636663,127.817252924988,,
2007-11-01,-96.499202202016,96.499202202016,,,19.4403293381595,136.460376650495,,
2007-12-01,-44.36300751401,44.36300751401,,,34.5997320149909,121.300973973664,,
2008-01-01,-77.8636563900072,77.8636563900072,,,-4.33186245184091,108.323931636834,,
2008-02-01,-144.52935354998,144.52935354998,,,-8.54650201683884,112.538571201832,,
2008-03-01,139.074096710989,139.074096710989,,,-12.5917883636721,108.493284854999,,
2008-04-01,207.895385297001,207.895385297001,,,-2.71428960800404,118.370783610667,,
2008-05-01,29.1002782849973,29.1002782849973,,,18.2189571398315,107.137629624497,,
2008-06-01,159.978047824989,159.978047824989,,,52.2757996963313,126.406803009661,,
2008-07-01,141.246368929045,141.246368929045,,,88.7941372495067,136.970588432834,,
2008-08-01,36.9492751040089,36.9492751040089,,,119.040575358505,119.040575358505,,
2008-09-01,243.07992846299,243.07992846299,,,136.374880650505,136.374880650505,,
2008-10-01,223.041244409993,223.041244409993,,,138.899190502671,138.899190502671,,
